1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,583525
1024,000000	3,931007
2048,000000	7,543516
3072,000000	11,122344
4096,000000	14,401328
5120,000000	17,839453
6144,000000	21,390078
7168,000000	24,731406
8192,000000	28,231328
9216,000000	31,650234
10240,000000	34,998047
11264,000000	38,074375
12288,000000	41,941094
13312,000000	45,137266
14336,000000	48,368906
15360,000000	51,906250
16384,000000	54,611797
17408,000000	57,971172
18432,000000	61,537266
19456,000000	64,938828
20480,000000	68,453047
21504,000000	71,240547
22528,000000	75,118828
23552,000000	77,548125
24576,000000	80,666250
25600,000000	83,885781
26624,000000	86,877031
27648,000000	89,891953
28672,000000	93,037422
29696,000000	95,962266
30720,000000	99,150078
31744,000000	101,965703
32768,000000	105,057969
33792,000000	108,204609
34816,000000	110,411719
35840,000000	113,543828
36864,000000	116,381172
37888,000000	118,974531
38912,000000	121,849688
39936,000000	124,624609
40960,000000	127,004375
41984,000000	129,613281
43008,000000	132,452031
44032,000000	134,939219
45056,000000	137,649688
46080,000000	139,993906
47104,000000	142,787812
48128,000000	145,091484
49152,000000	147,739531
50176,000000	149,911328
51200,000000	152,414141
52224,000000	154,637812
53248,000000	156,728516
54272,000000	159,223125
55296,000000	161,348594
56320,000000	163,504844
57344,000000	165,670938
58368,000000	167,605859
59392,000000	169,909922
60416,000000	171,869844
61440,000000	173,982891
62464,000000	176,180859
63488,000000	177,954453
64512,000000	180,035156
65536,000000	182,220156
66560,000000	184,397188
67584,000000	186,124687
68608,000000	187,871406
69632,000000	189,673437
70656,000000	191,250391
71680,000000	193,023437
72704,000000	194,695469
73728,000000	196,619922
74752,000000	198,014531
75776,000000	199,710156
76800,000000	201,294688
77824,000000	202,955469
78848,000000	204,458594
79872,000000	205,887031
80896,000000	207,351406
81920,000000	208,782969
82944,000000	210,300156
83968,000000	211,644766
84992,000000	213,129766
86016,000000	214,315391
87040,000000	215,777813
88064,000000	217,135859
89088,000000	218,252344
90112,000000	219,547031
91136,000000	220,743125
92160,000000	221,781797
93184,000000	223,063359
94208,000000	224,020000
95232,000000	225,234219
96256,000000	226,386094
97280,000000	227,356484
98304,000000	228,452188
99328,000000	229,342422
100352,000000	230,535859
101376,000000	231,529219
102400,000000	232,541797
103424,000000	233,367422
104448,000000	234,262266
105472,000000	235,384531
106496,000000	236,231484
107520,000000	237,054766
108544,000000	237,889453
109568,000000	238,600625
110592,000000	239,492969
111616,000000	240,114297
112640,000000	240,984062
113664,000000	241,688828
114688,000000	242,530391
115712,000000	243,107031
116736,000000	244,011250
117760,000000	244,548125
118784,000000	245,253984
119808,000000	245,814844
120832,000000	246,266328
121856,000000	247,107031
122880,000000	247,547812
123904,000000	248,081250
124928,000000	248,666328
125952,000000	249,244063
126976,000000	249,963437
128000,000000	250,431094
129024,000000	250,833438
130048,000000	251,183750
131072,000000	251,704297
132096,000000	252,265000
133120,000000	252,664531
134144,000000	253,193281
135168,000000	253,517812
136192,000000	253,848672
137216,000000	254,265859
138240,000000	254,775000
139264,000000	255,017109
140288,000000	255,369297
141312,000000	255,887500
142336,000000	256,367656
143360,000000	256,766953
144384,000000	257,030156
145408,000000	257,510547
146432,000000	257,657266
147456,000000	258,132734
148480,000000	258,388125
149504,000000	258,748047
150528,000000	258,863984
151552,000000	259,274375
152576,000000	259,381328
153600,000000	259,727344
154624,000000	259,891641
155648,000000	260,306250
156672,000000	260,494375
157696,000000	260,860391
158720,000000	260,912656
159744,000000	261,145938
160768,000000	261,304219
