1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	2,978328
1024,000000	4,231806
2048,000000	7,231482
3072,000000	11,117581
4096,000000	14,807500
5120,000000	17,388672
6144,000000	20,979453
7168,000000	24,784531
8192,000000	27,063281
9216,000000	30,390703
10240,000000	34,190859
11264,000000	37,195625
12288,000000	40,611094
13312,000000	43,627266
14336,000000	47,740078
15360,000000	49,776172
16384,000000	53,759844
17408,000000	56,147813
18432,000000	60,045703
19456,000000	62,947500
20480,000000	66,382187
21504,000000	69,664375
22528,000000	71,999141
23552,000000	75,507109
24576,000000	78,213281
25600,000000	81,515469
26624,000000	84,746328
27648,000000	87,565859
28672,000000	90,221484
29696,000000	93,142656
30720,000000	95,604375
31744,000000	99,058750
32768,000000	102,176641
33792,000000	105,070703
34816,000000	107,333359
35840,000000	110,424063
36864,000000	112,952969
37888,000000	115,486484
38912,000000	118,237656
39936,000000	120,934297
40960,000000	123,660547
41984,000000	126,648906
43008,000000	128,549375
44032,000000	131,492656
45056,000000	134,384766
46080,000000	135,831641
47104,000000	138,617734
48128,000000	140,912187
49152,000000	143,307891
50176,000000	145,688906
51200,000000	147,996641
52224,000000	150,569063
53248,000000	152,579922
54272,000000	154,655938
55296,000000	156,925547
56320,000000	159,613828
57344,000000	161,766406
58368,000000	163,231016
59392,000000	165,903672
60416,000000	167,532656
61440,000000	169,700938
62464,000000	171,718516
63488,000000	173,596875
64512,000000	175,743594
65536,000000	177,940078
66560,000000	179,714844
67584,000000	181,725391
68608,000000	183,123984
69632,000000	185,248281
70656,000000	187,246719
71680,000000	188,755234
72704,000000	190,702031
73728,000000	191,767578
74752,000000	193,469844
75776,000000	195,179141
76800,000000	196,690078
77824,000000	198,400469
78848,000000	199,910781
79872,000000	201,487578
80896,000000	202,844687
81920,000000	204,396406
82944,000000	206,133594
83968,000000	207,366406
84992,000000	208,651563
86016,000000	210,076328
87040,000000	211,248437
88064,000000	212,589375
89088,000000	213,974063
90112,000000	215,021797
91136,000000	216,134609
92160,000000	217,761719
93184,000000	219,037422
94208,000000	220,001563
95232,000000	221,335781
96256,000000	222,229531
97280,000000	223,478984
98304,000000	224,643359
99328,000000	225,690000
100352,000000	226,827188
101376,000000	227,795703
102400,000000	228,827500
103424,000000	229,536953
104448,000000	230,810547
105472,000000	231,539375
106496,000000	232,518672
107520,000000	233,405156
108544,000000	234,376641
109568,000000	235,241016
110592,000000	235,924688
111616,000000	236,910547
112640,000000	237,886484
113664,000000	238,731875
114688,000000	239,348594
115712,000000	240,245391
116736,000000	240,581016
117760,000000	241,392109
118784,000000	242,404297
119808,000000	242,949922
120832,000000	243,470625
121856,000000	244,189375
122880,000000	244,779297
123904,000000	245,480859
124928,000000	246,173125
125952,000000	246,643047
126976,000000	247,401406
128000,000000	247,591328
129024,000000	248,326953
130048,000000	248,798203
131072,000000	249,421953
132096,000000	249,715156
133120,000000	250,287187
134144,000000	250,863594
135168,000000	251,428203
136192,000000	251,827812
137216,000000	252,238828
138240,000000	252,569766
139264,000000	253,096641
140288,000000	253,430078
141312,000000	253,931484
142336,000000	254,138906
143360,000000	254,559063
144384,000000	254,952266
145408,000000	255,281875
146432,000000	255,727734
147456,000000	256,082578
148480,000000	256,218125
149504,000000	256,617109
150528,000000	257,075391
151552,000000	257,462500
152576,000000	257,675859
153600,000000	258,170078
154624,000000	258,330625
155648,000000	258,619531
156672,000000	258,889063
157696,000000	259,070469
158720,000000	259,554141
159744,000000	259,766406
160768,000000	259,984062
161792,000000	260,203828
162816,000000	260,448984
163840,000000	260,672109
164864,000000	260,924609
165888,000000	261,250703
166912,000000	261,468359
167936,000000	261,564453
168960,000000	261,747656
169984,000000	262,061641
171008,000000	262,134531
172032,000000	262,380156
173056,000000	262,437188
174080,000000	262,651328
175104,000000	262,838047
176128,000000	263,111484
177152,000000	263,286016
178176,000000	263,365859
179200,000000	263,484375
180224,000000	263,675625
181248,000000	263,838359
182272,000000	263,919687
183296,000000	264,057969
184320,000000	264,171172
185344,000000	264,336094
186368,000000	264,458359
