1D 100 -5,000000 995,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	5,881291
10,000000	6,091835
20,000000	4,078818
30,000000	4,082719
40,000000	4,844185
50,000000	5,282444
60,000000	5,374971
70,000000	42,934628
80,000000	103,397122
90,000000	140,146431
100,000000	146,474780
110,000000	142,068741
120,000000	131,520459
130,000000	119,044690
140,000000	103,846148
150,000000	90,706338
160,000000	78,315693
170,000000	67,009519
180,000000	57,756910
190,000000	48,493158
200,000000	41,531373
210,000000	35,267170
220,000000	30,281634
230,000000	25,238442
240,000000	20,939488
250,000000	17,629741
260,000000	14,287003
270,000000	11,818032
280,000000	9,130477
290,000000	7,035390
300,000000	5,635191
310,000000	4,703169
320,000000	5,526961
330,000000	4,977511
340,000000	3,341790
350,000000	3,400873
360,000000	5,120934
370,000000	3,634565
380,000000	3,245281
390,000000	5,349988
400,000000	6,243955
410,000000	5,509939
420,000000	4,495275
430,000000	3,922464
440,000000	4,483216
450,000000	5,179841
460,000000	5,185651
470,000000	3,956632
480,000000	2,617376
490,000000	4,892767
500,000000	4,768616
510,000000	3,420176
520,000000	4,026377
530,000000	5,355125
540,000000	4,453407
550,000000	4,155496
560,000000	5,508936
570,000000	2,727120
580,000000	3,164188
590,000000	4,066422
600,000000	2,079581
610,000000	2,934286
620,000000	4,649934
630,000000	3,198083
640,000000	3,657417
650,000000	2,758948
660,000000	2,362386
670,000000	2,354698
680,000000	3,757835
690,000000	1,655036
700,000000	0,510382
710,000000	2,994115
720,000000	4,523448
730,000000	1,991081
740,000000	0,819676
750,000000	-0,582249
760,000000	1,135650
770,000000	2,003827
780,000000	3,259748
790,000000	1,745419
800,000000	0,049238
810,000000	4,612800
820,000000	3,046322
830,000000	1,301378
840,000000	2,326117
850,000000	-0,018694
860,000000	-0,277367
870,000000	2,514005
880,000000	2,762963
890,000000	1,601627
900,000000	4,055136
910,000000	2,521574
920,000000	0,306113
930,000000	2,444261
940,000000	1,378552
950,000000	1,124358
960,000000	1,190477
970,000000	2,485380
980,000000	4,163601
990,000000	1,431585
