# Messwerte zur Eichung des Elektromagneten
# I/a B/mT
00.0 0004.4
00.5 0037.3
01.0 0067.8
01.5 0091.9
02.0 0124.1
02.5 0155.4
03.0 0184.9
03.5 0217.1
04.0 0245.2
04.5 0272.5
05.0 0305.0
05.5 0335.5
06.0 0367.4
06.5 0401.8
07.0 0425.9
07.5 0458.5
08.0 0491.9
08.5 0524.0
09.0 0555.4
09.5 0576.8
10.0 0606.2
10.5 0639.8
11.0 0667.9
11.5 0700.6
12.0 0731.0
12.5 0758.7
13.0 0783.2
13.5 0811.8
14.0 0833.2
14.5 0853.0
15.0 0876.8
15.5 0896.1
16.0 0918.7
16.5 0937.6
17.0 0952.0
17.5 0975.1
18.0 0974
18.5 0994
19.0 1012
19.5 1028
20.0 1047
