#Messung T1, longitudinale Relaxationszeit
#tau/s echo-hoehe/V
00.0010 0.6425
00.0014 0.6325
00.0020 0.63125
00.0027 0.62875
00.0038 0.6250
00.0054 0.61875
00.0075 0.6125
00.0105 0.6100
00.0148 0.60375
00.0207 0.600625
00.0289 0.59750
00.0405 0.59250
00.0567 0.585625
00.0794 0.561875
00.1111 0.53875
00.1556 0.51625
00.2178 0.475625
00.3094 0.4250
00.4269 0.3670
00.5976 0.294750
00.8367 0.2000
01.1723 0.10125
01.6399 -0.06125
02.2959 -0.2075
03.2143 -0.34625
04.5000 -0.47625
06.3000 -0.5725
08.8198 -0.6400
07.5500 -0.6075
07.0000 -0.59875
09.5000 -0.6425
